station_id,name,lat,lon
131543,Landungsbrücke/Hafentor,53.5457,9.9723
131546,Fischmarkt/Breite Straße,53.5462,9.95088
131547,Paulinenplatz/Wohlwillstraße,53.5542,9.96246
131639,Burgstraße/Hammer Landstraße,53.555693,10.041298
131640,Innocentiapark/Oberstraße,53.577248,9.98211
131641,Goebenstraße/Eppendorfer Weg,53.577579,9.963063
131642,Osterstraße/Bismarckstraße,53.573183,9.962395
131643,Christuskirche/Fruchtallee,53.5695,9.96309
131644,Eimsbütteler Straße/Waterloostraße,53.5662,9.9534
131645,Ottenser Marktplatz/Museumsstraße,53.547905,9.934844
131646,Bahnhof Altona Ost/Max-Brauer-Allee,53.552121,9.936005
131647,Kurze Mühren/Spitalerstraße,53.552611,10.00415
131648,Schulterblatt/Eifflerstraße,53.562709,9.96099
131649,Große Bergstraße / Jessenstraße,53.5512,9.94576
131650,Königstraße / Struenseestraße,53.5471,9.94241
131651,Kurt-Schumacher-Allee / Nagelsweg,53.5517,10.016
131652,Berliner Tor / Berlinertordamm,53.5533,10.0246
131653,Zentralbibliothek / Münzstraße,53.550332,10.008849
131654,Steinstraße / Deichtorplatz,53.548562,10.005325
131872,Hauptbahnhof West / Glockengießer Wall,53.553676,10.004553
131873,Hauptbahnhof Ost / Hachmannplatz,53.554307,10.007652
131875,Jacobikirche / Steinstraße,53.5503,10.0015
131877,Meßberg / Willy-Brandt-Straße,53.547805,9.998774
131879,Jungfernstieg / Ballindamm,53.552244,9.995501
131880,Mönckebergstraße / Rosenstraße,53.550722,9.99714
131881,Universität / Schlüterstraße,53.566972,9.986076
131882,Universität / Moorweidenstraße,53.563755,9.987659
131883,Bahnhof Dammtor Nord // Theodor-Heuss-Platz,53.5614,9.99043
131884,Gänsemarkt / Büschstraße,53.556282,9.990091
131885,Rödingsmarkt / Großer Burstah,53.5483,9.98695
131887,Enckeplatz / Hütten,53.5524,9.97695
131888,Messehallen / Marktstraße,53.558518,9.975346
131889,Bahnhof Altona West / Busbahnhof,53.5518,9.93387
131890,Neuer Pferdemarkt / Beim Grünen Jäger,53.558869,9.963824
131902,Reeperbahn / Königstraße,53.549501,9.954934
131905,Millerntorplatz/St.Pauli,53.551,9.97033
137994,Harvestehuder Weg / Alte Rabenstraße,53.5672,10.0011
137995,Hallerstraße / Rohtenbaumchaussee,53.572081,9.988801
138372,Uhlandstraße / Eingang Nord,53.565,10.0267
138375,Lerchenfeld / Uferstraße,53.567,10.0318
138376,Jarrestraße / Rambatzweg,53.584,10.0211
138378,Hudtwalckerstraße / Bebelallee,53.5943,9.99575
138379,Stadthausbrücke / Neuer Wall,53.549672,9.986594
138380,Jungfernstieg / Neuer Jungfernstieg,53.555,9.9914
138382,Bahnhof Dammtor Süd / Marseiller Straße,53.5602,9.98963
138383,Kleine Rosenstraße / Gerhart-Hauptmann-Platz,53.5516,9.99843
138384,Lange Reihe / Kirchenallee,53.5552,10.0082
138385,Lange Reihe / Lohmühlenpark,53.5599,10.0149
138386,Michaeliskirche / Krayenkamp,53.547975,9.97942
138387,Mönckebergstraße / Steintorwall,53.5516,10.0054
138389,Steindamm / Stralsunder Straße,53.554216,10.013306
139498,Chemnitzstraße / Max-Brauer-Allee,53.5553,9.94286
139501,Sternschanze / Eingang Dänenweg,53.564227,9.96925
139508,Eppendorfer Baum / Isestraße,53.5832,9.98441
140790,Hammerbrook / Sachsenfeld,53.546011,10.024042
140791,Lohmühlenstraße / Steindamm,53.5572,10.0199
140793,Martinistraße / Haupteingang Klinikum,53.588918,9.975715
140794,Kümmellstraße / Robert-Koch-Straße,53.590237,9.98673
140795,Kellinghusenstraße / Loogeplatz,53.588516,9.991125
140796,Goldbekplatz / Semperstraße,53.5838,10.01
140799,Mundsburg / Schürbeker Straße,53.5696,10.0271
140800,Eduard-Rhein-Ufer / Schwanenwik,53.5677,10.0162
140801,Wartenau / Lübecker Straße,53.5636,10.0341
140802,Landwehr / Ramazan-Avci-Platz,53.561109,10.037022
140803,Lübecker Straße / Marienkrankenhaus,53.5597,10.0285
140804,Isestraße / Hoheluftbrücke,53.578,9.97721
158204,Alter Wall/Adolphsbrücke,53.550193,9.99011
163327,Axel-Springer-Platz/Wexstraße,53.551853,9.985161
164033,Sievekingplatz/Gorch-Fock-Wall,53.556061,9.979697
